paper no.;author;year;scale name;general notes ;clear construct definition;relevance of construct (to motivation review);paradigm fit;enough information?;include/exclude;scale in another original paper;instrument focused 1(y)/0(n);note: focus if not instrumental;external validity (y/n);which external validity;Test theory;note 1: validity;No of categories;variance in score y/n/nr;ceiling/floor effect;internal consistency y/n;internal consistency measure;internal consistency score;inter-rater reliability y/n;inter-rater reliability score;note2: reliabilty;crucial skill;disadvantaged population;note3: fairness;Duration;estimate y/n;No. items;expansion/reduction possible;note4: efficiency;age group mean;age group range;grade;ages applied;country of study;population (typical/what disorder);Particular sample (e.g. non-native, underprivileged);sample size;note5: sample;IQ y/n;SES y/n;personality measure y/n;musical training y/n;home environment y/n2;note6: control variables;Hearing Acuity;volume;Timbre/Instrument;Analysis;Discrimination / Recognition;Association;Recall / Production;Performance;Sensorimotor synchronization;meter;beat;tempo;Analysis5;Discrimination / Recognition6;Association7;Recall/ Production;Performance8;Key/Absolute Pitch;mode;Analysis9;Discrimination/Recognition;Association10;Recall / Production11;Performance12;Analysis13;Discrimination/recognition14;Association15;Recall/ Production16;Performance17;Improvisation;composition;Singing ;Dance;interest;internal motivation;external motivation;note names;basic music categories;form perception;aesthetics/ aesthetical evaluation;function/target audience;emotion/mood;single tones;intervals;chords;phrases;harmonic sequence;full songs;individual or group testing;potential for group testing;evaluation notes;study design notes;questionnaire/interview;self-report;parent report;teacher-report;available for research use (y/n/unsure);all necessary items and instructions for testing available in paper or online (y/n);coder;missing tags;newly added?;;;;;;;;;;;;;;;
405;Blackburn, C.;2017;Untitled;survey and interviews on children's musical activities at home: full text not available, but accepted article from repository;1;0;1;0;2->exclude;;;;;;nr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CM;;;;;;;;;;;;;;;;;
403bi;"Comeau, G.; Huta, V.; Lu, Yuanyuan; Mikael, S.";2019;Untitled;child report of seeking to play beyond practice sessions;1;1;1;1;4;;1;;y;other measures: MLM;n;correlations with each of the MLM subscales;7-point likert (not at all like me- perfectly like me);y: M=4.26, SD=1.42;n;y;cronbach's alpha;a=0.76;n;NA;;language skills and instrument training;"young readers; dyslexia; those who don’t have access to instrument learning";;5m;y;5;y;;"10.85y (piano); 10.40 y (violin)";"6-17y (piano); 4-16y (violin)";nr;4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17;Canada;TD;piano and violin students (music lessons for at least .5 years);337;270 piano students vs violin 80;n;n;n;y;n;recruited on the basis of taking music lessons for at least .5 years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;;y;;child questionnaire;1;1;;;n;y: in paper;CM;;;;;;;;;;;;;;;;;
420;Castro, R. R.;1998;"Child/Toddler/Infant Observation record (High Scope, 1992; Cataldo, 1983)";"music barely mentioned (only for COR ""Music and Movement""), but doesn't sound motivational, original text not accessible -> find?";1;0;0;1;2->exclude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CM;;;;;;;;;;;;;;;;;
392a;Denac, O.;2008;Untitled;Parent reports of interest of children in taking part in different activities at home;1;1;1;1;4;;0;includes singing, music listening, making up new songs, dancing and movement as well as playing instruments ;y;other measures: child and teacher reports;;parent reports of children's interests in music at home are compared with children's reports;5;y: range of percentages of first ranked activities at home : 9.7%-55.7% ;NA;n;NA;NA;n;NA;An assessment of reliability carried out between parent and child ratings of different activities would have been beneficial;parent insight;parent who lives seperately;necessary to have an insight into their children's musical lives and behaviour at home;nr;n;;y;list of potential music activities to take part in at home could be expanded upon to include, for example, taking part in musical play, playing or singing with others;nr;5 to 6 y;preschool;5,6;Slovenia;TD;;176;parents of children from preschools that responded to a letter sent to randomly chosen kindergartens throughout Slovenia;n;n;n;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;;;;;;;;;;;;;group;y;;questionnaire;1;;1;;unclear;y: in paper: https://link.springer.com/article/10.1007/s10643-007-0205-4;CM;;;;;;;;;;;;;;;;;
396;"Hallam, S.; Creech, A.; Varvargiou, M.; Papageorgi, I.";2020;Untitled;see paper 395: same questionnaire/data/respondents EXCLUDED ;1;1;1;1;0;1;;;;;;;;;;;;;;;;;;;;y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;CM;;;;;;;;;;;;;;;;;
397;"Hallam, S.; Creech, A.; Varvargiou, M.; Papageorgi, I.";2020;Untitled;see paper 395: same questionnaire/data/respondents EXCLUDED ;1;1;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;CM;;;;;;;;;;;;;;;;;
406;"Hallam, S.; Creech, A.; Papageorgi, I.; Gomes, T.; Rinta, T.; Varvarigou, M.; Lanipekum, J.";2016;Untitled;see paper 395: same questionnaire/data/respondents EXCLUDED ;1;1;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;CM;;;;;;;;;;;;;;;;;
421;Cose-Giallella, C. D.;2010;Untitled;"measures on thoughts and feelings of children about their musical performances -> relevant? not directly relevant to motivation; assessment tool does not fit paradigm requirements";1;0;0;1;2->exclude;;;;;;nr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MH;;;;;;;;;;;;;;;;;
417;Koh, C. K.;2011;3 dimensions of motivation questionnaire;see paper 1451;1;1;1;1;4;1;;;;;;;;;;;;;;;;;;;;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;MH;;;;;;;;;;;;;;;;;
1442;"Evans, Paul; McPherson, Gary (E)";2015;Watkins-Farnum performance (WFPS) ;should be included in main review** butno motivation measure;1;1;0;0;2->exclude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
392b;Denac, O.;2008;Untitled;"Children are interviewed with questions regarding whether they like particular musical activities and asked to choose their favourite; some questions were adapted from the interview by Temmerman (2000)";1;1;1;1;4;;0;includes singing, music listening, making up new songs, dancing and movement as well as playing instruments ;y;other measures ;;children's reports are compared to teacher and parent reports of interests in taking part in different types of musical activities, although this only provided qualitative validation;2;nr;"y; most children responded 'yes' when asked if they enjoyed each of the activities";n;NA;NA;n;NA;"low discriminatory power due to ceiling effect with yes/no task; reliability checks between teacher/parent and child reports of favourite activities at home and at school would have been beneficial";;;an easy task for children;nr;n;;y;list of potential music activities to take part in could be expanded upon to include, for example, taking part in musical play, playing or singing with others;;6 to 6 y;preschool;5,6;Slovenia;TD;;176;children from preschools that responded to a letter sent to randomly chosen kindergartens throughout Slovenia;n;n;n;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;;;;;;;;;;;;;individual;n;requires a greater variety of  genres and more pieces of music per genre to provide a valid estimate of children's interests in different styles;interview;1;1;;;unclear;y: in paper: https://link.springer.com/article/10.1007/s10643-007-0205-4;CM;;;;;;;;;;;;;;;;;
1440;"Driscoll, V.; Gfeller, K.; Tan, X.; See, R.; Cheng, H.-Y.; Kanemitsu, M.";2015;Music Engagement Questionnaire- Preschool/Elementary (MEQ-P/E);Parent Questionnaire adapted from Darrow's (1993) study, language was simplified to evaluate a younger target audience. The following only refers to the relevant items under Q7 of the questionnaire which evaluate 'extent and type of involvement in formal music instruction);1;1;1;1;4;;0;includes singing, listening, community music, social musical activities, moving to music, watching musical videos, family music making, independent musical exploration, creating songs, playing with musical toys and games. ;y;other measures: parent reports of music importance;n;;6-point ordinal frequency scale (never-daily + don't know);nr;nr;n;NA;NA;n;NA;only parent reports- reliability could be improved with self-reports or teacher reports;parent insight;parent who lives seperately;necessary to have an insight into their children's musical lives and behaviour;10m;n;12;n;comprehensive list of possible music activities, would not advise lengthening or shortening;3.2y (preschool), 9.88y (primary);1.5-5y (preschool), 7-12y (primary);preschool and primary;1,2,3,4,5,7,8,9,10,11,12;US;hearing impaired;children with cochlear implants;32;parents also completed questions on siblings as a comparison group who are not included in this sample summary;n;n;n;n;n;question on musical training included in the questionnaire, but this is not used as a control;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;group;y;advantageously includes a comprehensive overview of possible types of musical involvement;questionnaire;1;;1;;unclear;y: in paper;CM;;;;;;;;;;;;;;;;;
1441a;"Eccles, J.; Wigfield, A.; Harold, R.; Blumenfeld, P.";1993;Untitled;self-report questionnaire on musical ability ;1;1;1;1;4;;1;;y;factor analysis and other measures: maths,reading and sports comparisons;n;no external validity but a factor analysis was conducted with new measure: music items all loaded on the same factor and demonstrated similarities with the structure of competence beliefs in other areas (maths, reading and sports);7-point likert scale (varied responses);y: M=4.41, SD=1.76(boys),M= 5.15, SD=1.43 (girls);n;y;nr (likely cronbach's alpha);0,73;n;NA;;language skills;"young readers; dyslexia";;<5m;y;4;y;the experimenters reduced the number of items in the music part of the scale due to time limitations, could expand to include more music-specific items similar to other areas explored in scale (maths, reading...) and not limited to instrumental training ;;7 to 10 y;1, 2, 4 grade;7,8,9,10;US;TD;lower middle class- middle class;865;;n;n;n;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;nr;y;good evaluation of compentence in instrument playing backed by factor analysis;child questionnaire;1;1;;;unclear;y: in paper;CM;general ability;;;;;;;;;;;;;;;;
1441b;"Eccles, J.; Wigfield, A.; Harold, R.; Blumenfeld, P.";1993;Untitled;self-report questionnaire on musical interest;1;1;1;1;4;;1;;n;factor analysis and other measures: maths,reading and sports comparisons;n;no external validity but a factor analysis was conducted with new measure: music items all loaded on the same factor and demonstrated similarities with task value in other areas (maths, reading and sports);7-point likert scale;y: M=4.62, SD=2.08 (boys),M= 5.61, SD=1.67 (girls);n;y;nr (likely cronbach's alpha);0,82;n;NA;;language skills and instrument training;"young readers; dyslexia; those who don’t have access to instrument learning";;<5m;y;3;y;the experimenters reduced the number of items in the music part of the scale due to time limitations, could expand to include more music-specific items similar to other areas explored in scale (maths, reading...) and not limited to instrumental training ;;8 to 10 y;1, 2, 4 grade;7,8,9,10;US;TD;lower middle class- middle class;865;;n;n;n;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;nr;y;good evaluation of interest in music but could be expanded to include a wider range of activities;child questionnaire;1;1;;;unclear;y: in paper;CM;;;;;;;;;;;;;;;;;
408;"McPherson, G. E.; Osborne, M. S.; Barrett, M. S.; Davidson, J. W.; Faulkner, R.";2015;3 dimensions of motivation questionnaire;see paper 1451;1;1;1;1;4;1;;;;;;;;;;;;;;;;;;;;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MH/CM;;;;;;;;;;;;;;;;;
401;Ghazali, G. M. & McPherson, G. E.;2009;Untitled;"Questionnaire developed based on O'Neill's (2001) survey on musical participation,McPherson and Davidson's (2002) research and Eccles' motivation constructs (1993; paper 401). Five motivational constructs (difficulty, importance, usefulness, interesting, enjoyment) assessed. Designed to compare attitudes towards music across ethinicities and religious groups to assess how they are influenced by socialisation factors.";1;1;1;1;4;;1;full scale not available but the paper is focused on instrumental training and learning music in school;y;comparison across cultures;Expectancy-Value theory;authors mention that two versions of the scale (in Malay and English) were validated in a pilot study;7 point likert: importance, enjoyment, difficulty, interestingness, usefulness;y: for 5 different motivation constructs, learning music in school M ranged from 4.28-4.71 and SD ranged from 1.73-1.92 ;n;n;NA;NA;n;NA;;language skills;"young readers; dyslexia";language skills and quality of translation could have affected results here;30m;n;30;y;shorter scale might improve attention and engagement;;9 to 12 y;years 4,5, 6;9,10,11,12;Malaysia;TD;ethnicity and religion: malay muslim, chinese buddhist, chinese christian, indian hindu, indian christian;1060;;n;n;n;y;n;instrument learning groups: currently learning an instrument, ceased learning an instrument, never learnt an instrument and by ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;group;y;interesting test of expectancy-value theory argument that values and beliefs change across social groups;child questionnaire;1;1;;;n;n: example items;CM;;;;;;;;;;;;;;;;;
395;"Hallam, S.; Rinta, T. Varvargiou, M.; Creech, A.; Papageorgi, I.; Gomes, T.; Lanipekun, J.";2012;Untitled;Questionnaire on practice strategies, organisation and motivation;1;1;1;1;4;;1;;y;level of expertise (grade level attained in UK grade system);;"the study sought to investigate differences in practice strategies between instrumental students with different levels of expertise; differences were established between groups";7 point agreement scale;nr;nr;n;NA;NA;n;NA;;language skills and instrument training;"young readers; dyslexia; those who don’t have access to instrument learning";;10m;n;29;n;PCA validates 7 factors that relate to different aspects of practice, validating use of this many items;;6 to 19 y;;6,7,8,9,10,11,12,13,14,15,16,17,18,19;UK;TD;participants were all learning classical and popular musical instruments;3325;sample were split into grade groups ;n;n;n;y;n;sample were split into groups according to expertise (grade levels);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;group;y;focused on practice strategies, some items are not directly related to motivation necessarily (e.g. 'I practice with a metronome');child questionnaire;1;1;;;unclear;y: in paper appendix ;CM;;;;;;;;;;;;;;;;;
1443b;"Ilari, B.; Helfer, S.; Huynh, T.";2020;Untitled;question on children's interest in music included in demographic questionarre;1;1;1;1;4;;0;overall interest in music;y;other measures: significantly correlated with active music participation (r=.47);n;;10-point likert (very little/no interest- extreme interest);;n;n;NA;NA;n;NA;;;;;<1m;y;1;only one item: expansion to include more questions to help provide a richer assessment of interest;;46.2m;SD=5.36m;;3,4;US;TD;Children from highly educated families learning music in a well-established research based childhood music education program ;36;;n;n;n;y;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;;;;;;;;;;;;;group;y;only one item but high  correlation with active musical engagement indicates reasonable validity;parent questionnaire;1;;1;;y;"y; ""they were asked to rate their children's overall interest in music on a scale from 0-10""";CM;;;;;;;;;;;;;;;;;
1443a;"Ilari, B.; Helfer, S.; Huynh, T.";2020;Active musical participation index;parent questionnaire on children's active musical participation;1;1;0;0;2->exclude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
411;"Portowitz, A.; González-Moreno, P. A.; Hendricks, K. S.";2010;3 dimensions of motivation questionnaire;see paper 1451 isreali version of the McPherson study;1;1;1;1;4;1;;;;;;;;;;;;;;;;;;;;y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MH;;;;;;;;;;;;;;;;;
416;"Lamont, A.; Hargreaves, D. J.; Marshall, N. A.; Tarrant, M.";2003;;"Pupil's Music Questionnaire: this was used for the purpose of exploration of attitudes towards music rather than an empirical measure of motivation for music; no empirical results reported.";1;1;0;0;2->exclude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MH;;;;;;;;;;;;;;;;;
429a;Jin, S. & Zou, N.;2022;Experiential activities questionnaire (for children): interest and engagement questions;Engagement subscale: child report developed based on a scale by Huang et al. to assess motivation for learning to playing ancient musical instruments using a new digital system;1;1;1;1;4;;1;focus on interest for learning an ancient chinese instrument;y;other measures: parents questionnaire;n;similar overall average scores between child and parent ratings but no report of correlation;5-point agreement scale adapted using smiley faces;nr;"y; all average scores (max 5) were between 4 and 5";n;NA;NA;n;NA;no measure of reliability;language skills;"young readers; dyslexia";language is simplified from the parent version but there are still some long complex words included;2m;y;3;y;could be expanded based on the larger set ofsimilar  items which can be found in some of  the questionnaires developed based on the expectancy-value model ;;6 to 12;;6, 7, 8, 9, 10, 11, 12;nr;TD;;10;appears to be based on an opportunity sample of parents and children visiting a museum;n;n;n;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;individual;y;not all questions would be relevant outsidethis study context;child questionnaire;1;1;;;unclear;n: items listed in table 3 but no further information on response options;CM;;;;;;;;;;;;;;;;;
429b;Jin, S. & Zou, N.;2022;Experiential activities questionnaire (for children): interest and engagement questions;Competence  subscale: child report developed based on a scale by Huang et al. to assess motivation for learning to playing ancient musical instruments using a new digital system;1;1;1;1;4;;1;focus on interest for learning an ancient chinese instrument;y;other measures: parents questionnaire;n;similar overall average scores between child and parent ratings but no report of correlation;5-point agreement scale adapted using smiley faces;nr;"y; all average scores (max 5) were between 4 and 5";n;NA;NA;n;NA;no measure of reliability;language skills;"young readers; dyslexia";language is simplified from the parent version but there are still some long complex words included;2m;y;3;y;could be expanded based on the larger set ofsimilar  items which can be found in some of  the questionnaires developed based on the expectancy-value model ;;6 to 12;;6, 7, 8, 9, 10, 11, 12;nr;TD;;10;appears to be based on an opportunity sample of parents and children visiting a museum;n;n;n;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;individual;y;not all questions would be relevant outsidethis study context;child questionnaire;1;1;;;unclear;n: items listed in table 3 but no further information on response options;CM;;;;;;;;;;;;;;;;;
429c;Jin, S. & Zou, N.;2022;Experiential activities questionnaire (for children): interest and engagement questions;Challenge subscale: child report developed based on a scale by Huang et al. to assess motivation for learning to playing ancient musical instruments using a new digital system;1;1;1;1;4;;1;focus on interest for learning an ancient chinese instrument;y;other measures: parents questionnaire;n;similar overall average scores between child and parent ratings but no report of correlation;5-point agreement scale adapted using smiley faces;nr;"y; all average scores (max 5) were between 4 and 5";n;NA;NA;n;NA;no measure of reliability;language skills;"young readers; dyslexia";language is simplified from the parent version but there are still some long complex words included;2m;y;2;y;could be expanded based on the larger set ofsimilar  items which can be found in some of  the questionnaires developed based on the expectancy-value model ;;6 to 12;;6, 7, 8, 9, 10, 11, 12;nr;TD;;10;appears to be based on an opportunity sample of parents and children visiting a museum;n;n;n;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;individual;y;not all questions would be relevant outsidethis study context;child questionnaire;1;1;;;unclear;n: items listed in table 3 but no further information on response options;CM;;;;;;;;;;;;;;;;;
429d;Jin, S. & Zou, N.;2022;Experiential activities questionnaire (for children): interest and engagement questions;Interest subscale: child report developed based on a scale by Huang et al. to assess motivation for learning to playing ancient musical instruments using a new digital system;1;1;1;1;4;;1;focus on interest for learning an ancient chinese instrument;y;other measures: parents questionnaire;n;similar overall average scores between child and parent ratings but no report of correlation;5-point agreement scale adapted using smiley faces;nr;"y; all average scores (max 5) were between 4 and 5";n;NA;NA;n;NA;no measure of reliability;language skills;"young readers; dyslexia";language is simplified from the parent version but there are still some long complex words included;2m;y;2;y;could be expanded based on the larger set ofsimilar  items which can be found in some of  the questionnaires developed based on the expectancy-value model ;;6 to 12;;6, 7, 8, 9, 10, 11, 12;nr;TD;;10;appears to be based on an opportunity sample of parents and children visiting a museum;n;n;n;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;individual;y;not all questions would be relevant outsidethis study context;child questionnaire;1;1;;;unclear;n: items listed in table 3 but no further information on response options;CM;;;;;;;;;;;;;;;;;
429e;Jin, S. & Zou, N.;2022;Experiential activities questionnaire (for parents);Engagement subscale: parent report developed based on a scale by Huang et al. to assess motivation for learning to playing ancient musical instruments using a new digital system;1;1;1;1;4;;1;focus on interest for learning an ancient chinese instrument;y;other measures: self-report questionnaire;n;similar overall average scores between child and parent ratings but no report of correlation;5 point likert;nr;"y; all average scores (max 5) were between 4 and 5";n;NA;NA;n;NA;no measure of reliability;;;;1m;y;2;y;could be expanded based on the larger set ofsimilar  items which can be found in some of  the questionnaires developed based on the expectancy-value model ;;6 to 12;;6, 7, 8, 9, 10, 11, 12;nr;TD;;10;appears to be based on an opportunity sample of parents and children visiting a museum;n;n;n;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;individual;y;not all questions would be relevant outsidethis study context;parent questionnaire;1;;1;;unclear;y: items listed in table 4;CM;;;;;;;;;;;;;;;;;
1454;"Desrochers, A.; Comeau, G.; Jardaneh, N.";2006;Survey of Musical Interests (original version of PAMS and MLM);excluded because written in french but referenced as the inspiration for papers 394 (PAMS) and 403 (MLM);1;1;1;0;3 -> exclude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CM;;;;;;;;;;;;;;;;;
429f;Jin, S. & Zou, N.;2022;Experiential activities questionnaire (for parents);Competence  subscale: parent report developed based on a scale by Huang et al. to assess motivation for learning to playing ancient musical instruments using a new digital system;1;1;1;1;4;;1;focus on interest for learning an ancient chinese instrument;y;other measures: self-report questionnaire;n;similar overall average scores between child and parent ratings but no report of correlation;5 point likert;nr;"y; all average scores (max 5) were between 4 and 5";n;NA;NA;n;NA;;;;;1m;y;2;y;could be expanded based on the larger set ofsimilar  items which can be found in some of  the questionnaires developed based on the expectancy-value model ;;6 to 12;;6, 7, 8, 9, 10, 11, 12;nr;TD;;10;appears to be based on an opportunity sample of parents and children visiting a museum;n;n;n;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;individual;y;not all questions would be relevant outsidethis study context;parent questionnaire;1;;1;;unclear;y: items listed in table 5;CM;;;;;;;;;;;;;;;;;
1455c;"Politimou, N.; Stewart, L.; Müllensiefen, D. & Franco, F.";2018;Music @ Home: Preschool;Parent initiation of musical behaviour;1;0;1;1;3-> exclude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1455d;"Politimou, N.; Stewart, L.; Müllensiefen, D. & Franco, F.";2018;Music @ Home: Preschool;Breadth of musical exposure;1;0;1;1;3-> exclude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1455e;"Politimou, N.; Stewart, L.; Müllensiefen, D. & Franco, F.";2018;Music @ Home: Infant;Parental beliefs;1;0;1;1;3-> exclude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
429g;"Jin, S. & Zou, N.";2022;Experiential activities questionnaire (for parents);Challenge subscale: parent report developed based on a scale by Huang et al. to assess motivation for learning to playing ancient musical instruments using a new digital system;1;1;1;1;4;;1;focus on interest for learning an ancient chinese instrument;y;other measures: self-report questionnaire;n;similar overall average scores between child and parent ratings but no report of correlation;5 point likert;nr;"y; all average scores (max 5) were between 4 and 5";n;NA;NA;n;NA;;;;;1m;y;1;y;could be expanded based on the larger set ofsimilar  items which can be found in some of  the questionnaires developed based on the expectancy-value model ;;6 to 12;;6, 7, 8, 9, 10, 11, 12;nr;TD;;10;appears to be based on an opportunity sample of parents and children visiting a museum;n;n;n;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;individual;y;not all questions would be relevant outsidethis study context;parent questionnaire;1;;1;;unclear;y: items listed in table 6;CM;;;;;;;;;;;;;;;;;
1455g;"Politimou, N.; Stewart, L.; Müllensiefen, D. & Franco, F.";2018;Music @ Home: Infant;Parent initation of singing;1;0;1;1;3-> exclude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1455h;"Politimou, N.; Stewart, L.; Müllensiefen, D. & Franco, F.";2018;Music @ Home: Infant;Parent initation of music making;1;0;1;1;3-> exclude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
441;"Steinberg, S.; Shivers, C. M.; Liu, T. L.; Cirelli, L. K. & Lense, M. D.";2021;Music @ Home;see paper 1455;1;1;1;1;4;1;0;includes singing, listening to recorded music, playing with musical toys, watching music videos on a TV/tablet, dancing to music and engaging in music activities with another person, as well as playing instruments;y;other subscale: parent musical engagement;nr;significanly related to PAQ: convergent validity with other measures not reported;7 point agreement scale ;y: SD=4.8-8.6 ;n;y;cronbach's alpha ;a=0.92;n;NA;it is unclear whether this estimate has been taken from the report of the original subscale;;;;5m;y;17?;n;unclear number of items relating specifically to child's active engagement: item number reported in combination with parent engagement, but around 5-10;M=36.64 months;0 to 5 years;;0,1,2,3,4,5;US and Canada;TD, ASD, DS, WS, developmental delay, angelman syndrome, cerebal palsy;;340;participants were parents reporting on children that were TD or had a developmental disorder;n;n;n;n;y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;group;;;parent questionnaires administered online;;;;;;;CM;;;;;;;;;;;;;;;;;
429h;Jin, S. & Zou, N.;2022;Experiential activities questionnaire (for parents);Interest subscale: parent report developed based on a scale by Huang et al. to assess motivation for learning to playing ancient musical instruments using a new digital system;1;1;1;1;4;;1;focus on interest for learning an ancient chinese instrument;y;other measures: self-report questionnaire;n;similar overall average scores between child and parent ratings but no report of correlation;5 point likert;nr;"y; all average scores (max 5) were between 4 and 5";n;NA;NA;n;NA;no measure of reliability;;;;1m;y;2;y;could be expanded based on the larger set ofsimilar  items which can be found in some of  the questionnaires developed based on the expectancy-value model ;;6 to 12;;6, 7, 8, 9, 10, 11, 12;nr;TD;;10;appears to be based on an opportunity sample of parents and children visiting a museum;n;n;n;n;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;individual;y;not all questions would be relevant outsidethis study context;parent questionnaire;1;;1;;unclear;y: items listed in table 7;CM;;;;;;;;;;;;;;;;;
